"cic_id","i94_year","i94_month","i94_city_cd","city_name","i94_state_cd","arr_date","dep_date","ins_num","male_pop","female_pop","total_pop","avg_temperature","median_age","avg_hh_size"
"2892078.0","2016.0","4.0","NIA","Niagara Falls","NY","2016-04-16","2016-04-19",,,,,,,
"2011996.0","2016.0","4.0","SEA","Seattle","WA","2016-04-11","2016-04-12",,"345659","338784","684443","49.9036","35.5","2.13"
"994837.0","2016.0","4.0","NYC","New York","TE","2016-04-06","2016-04-11",,,,,,,
"216657.0","2016.0","4.0","FTL","Fort Lauderdale","FL","2016-04-01",,,"93948","84639","178587","75.9922","42.8","2.38"
"628369.0","2016.0","4.0","NYC","New York","NJ","2016-04-04","2016-04-16",,,,,,,
"215616.0","2016.0","4.0","ATL","Atlanta","GA","2016-04-01","2016-04-11",,"223960","239915","463875","61.0462","33.8","2.15"
"2536368.0","2016.0","4.0","ORL","Orlando","TN","2016-04-14","2016-06-21",,,,,,,
"1649166.0","2016.0","4.0","LOS","Los Angeles","NJ","2016-04-09","2016-04-16",,,,,,,
"2755321.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-15","2016-04-24",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"1768810.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-09","2016-05-30",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"6034750.0","2016.0","4.0","AGA","Agana","GU","2016-04-28","2016-05-01","3675",,,,,,
"3552753.0","2016.0","4.0","BLA","Blaine","WA","2016-04-19",,,,,,,,
"169126.0","2016.0","4.0","LVG","Las Vegas","CA","2016-04-01","2016-04-11",,,,,,,
"4025365.0","2016.0","4.0","MIA","Miami","FL","2016-04-21","2016-05-12",,"215840","225149","440989","75.9922","40.4","2.5"
"1036934.0","2016.0","4.0","ORL","Orlando","IL","2016-04-06","2016-04-19",,,,,,,
"751491.0","2016.0","4.0","ATL","Atlanta","VT","2016-04-04","2016-04-10",,,,,,,
"1498315.0","2016.0","4.0","SEA","Seattle","FL","2016-04-08","2016-04-16",,,,,,,
"3811781.0","2016.0","4.0","MIA","Miami","FL","2016-04-20","2016-05-07",,"215840","225149","440989","75.9922","40.4","2.5"
"5062245.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-27","2016-05-02",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"3352680.0","2016.0","4.0","HHW","Honolulu","HI","2016-04-18","2016-04-21",,,,,,,
"306972.0","2016.0","4.0","HHW","Honolulu","HI","2016-04-02","2016-04-09",,,,,,,
"5974385.0","2016.0","4.0","AGA","Agana","GU","2016-04-03","2016-04-07","3668",,,,,,
"6055844.0","2016.0","4.0","AGA","Agana","GU","2016-04-29","2016-05-02",,,,,,,
"3599863.0","2016.0","4.0","HOU","Houston","TX","2016-04-19","2016-07-04",,"1149686","1148942","2298628","72.1044","32.6","2.66"
"5827717.0","2016.0","4.0","PHO","Phoenix","CA","2016-04-30","2016-05-07",,,,,,,
"5032473.0","2016.0","4.0","CHI","Chicago","IL","2016-04-27","2016-04-28",,"1320015","1400541","2720556","52.8564","34.2","2.53"
"5980604.0","2016.0","4.0","CHI","Chicago","GU","2016-04-09","2016-04-13","3954",,,,,,
"4525560.0","2016.0","4.0","HOU","Houston","TX","2016-04-24","2016-04-30",,"1149686","1148942","2298628","72.1044","32.6","2.66"
"523239.0","2016.0","4.0","MIA","Miami",,"2016-04-03","2016-04-05",,,,,,,
"2318687.0","2016.0","4.0","LOS","Los Angeles","FL","2016-04-13","2016-04-23",,,,,,,
"4024419.0","2016.0","4.0","NYC","New York","NJ","2016-04-21","2016-06-15",,,,,,,
"3837135.0","2016.0","4.0","MIA","Miami","FL","2016-04-21","2016-04-29",,"215840","225149","440989","75.9922","40.4","2.5"
"934333.0","2016.0","4.0","HOU","Houston","CO","2016-04-05","2016-07-25",,,,,,,
"3292986.0","2016.0","4.0","MIA","Miami","FL","2016-04-17","2016-04-18",,"215840","225149","440989","75.9922","40.4","2.5"
"4700630.0","2016.0","4.0","NYC","New York","NY","2016-04-25",,,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"1225506.0","2016.0","4.0","SFR","San Francisco","CA","2016-04-07","2016-04-13",,"439752","425064","864816","61.2206","38.3","2.37"
"2573307.0","2016.0","4.0","CLM","Columbus","PR","2016-04-14","2016-04-18",,,,,,,
"5724005.0","2016.0","4.0","HHW","Honolulu","HI","2016-04-30","2016-05-07",,,,,,,
"5097572.0","2016.0","4.0","NYC","New York","NY","2016-04-27","2016-05-12",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"4462449.0","2016.0","4.0","ORL","Orlando","FL","2016-04-23","2016-05-06",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"2161628.0","2016.0","4.0","HIG","Highgate Springs","DC","2016-04-12","2016-04-16",,,,,,,
"3870400.0","2016.0","4.0","ATL","Atlanta","CA","2016-04-21","2016-04-27",,,,,,,
"2673594.0","2016.0","4.0","NYC","New York","NY","2016-04-15","2016-04-21",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"2107301.0","2016.0","4.0","MIA","Miami","GA","2016-04-11","2016-04-14",,,,,,,
"2511828.0","2016.0","4.0","LVG","Las Vegas",,"2016-04-14","2016-04-23",,,,,,,
"6030826.0","2016.0","4.0","AGA","Agana","GU","2016-04-23","2016-04-26",,,,,,,
"32221.0","2016.0","4.0","NYC","New York","FL","2016-04-01","2016-04-15",,,,,,,
"715185.0","2016.0","4.0","ORL","Orlando","FL","2016-04-04","2016-04-08",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"2920807.0","2016.0","4.0","MIA","Miami","WA","2016-04-16","2016-04-27",,,,,,,
"5835261.0","2016.0","4.0","ATL","Atlanta","FL","2016-04-30","2016-05-08",,,,,,,
"232708.0","2016.0","4.0","NYC","New York","NY","2016-04-02","2016-04-10",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"1434452.0","2016.0","4.0","MIA","Miami","NC","2016-04-08","2016-04-22",,,,,,,
"5021720.0","2016.0","4.0","NYC","New York","NY","2016-04-27","2016-05-03",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"2721962.0","2016.0","4.0","NEW","Newark/Teterboro","HI","2016-04-15","2016-04-18",,,,,,,
"80898.0","2016.0","4.0","DET","Detroit","AR","2016-04-01","2016-04-16",,,,,,,
"13208.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-01","2016-04-30",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"3481574.0","2016.0","4.0","HOU","Houston","NY","2016-04-18","2016-05-17",,,,,,,
"1983761.0","2016.0","4.0","NYC","New York","CO","2016-04-11","2016-04-14",,,,,,,
"91889.0","2016.0","4.0","CHI","Chicago","CA","2016-04-01","2016-04-18",,,,,,,
"502445.0","2016.0","4.0","AGA","Agana","GU","2016-04-03","2016-04-07",,,,,,,
"289649.0","2016.0","4.0","DET","Detroit","GA","2016-04-02","2016-04-11",,,,,,,
"2051330.0","2016.0","4.0","DAL","Dallas","FL","2016-04-11","2016-04-23",,,,,,,
"5687991.0","2016.0","4.0","NEW","Newark/Teterboro","NY","2016-04-30","2016-05-06",,,,,,,
"4756602.0","2016.0","4.0","MIA","Miami","AL","2016-04-25","2016-06-21",,,,,,,
"3141666.0","2016.0","4.0","PSP","Palm Springs","GU","2016-04-17","2016-04-19",,,,,,,
"5714054.0","2016.0","4.0","PHI","Philadelphia","FL","2016-04-30","2016-05-11",,,,,,,
"4289482.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-23","2016-05-24",,"1958998","2012898","3971896","64.6172","35.0","2.86"
